,chrom,start,end,name,score,strand,samplea_counts,samplea_total,sampleb_counts,sampleb_total,samplea_percents,sampleb_percents,samplea_fraction_modified,sampleb_fraction_modified,map_pvalue,effect_size,cohen_h,cohen_h_low,cohen_h_high,map_pval_less005,map_pval_log10,cg_unit_pair,cg_unit_pair_id,efsize-score,score-efsize,score_scaled,efsize-score_scaled,start_hg38,end_hg38,start_t2tv2,end_t2tv2,score_norm
0,chr1,206583089,206583090,.,-0.3341749720652434,+,m:0,11,m:0,6,m:0.00,m:0.00,0.0,0.0,1.0,0.0,0.0,-0.9947193905501014,0.9947193905501014,False,-4.342945178152237e-11,CG_-1,CG_-1.+,0.3341749720652434,-0.3341749720652434,4.408985716494622e-05,-4.408985716494622e-05,207317793,207317794,206583089,206583090,4.408985716494622e-05
1,chr1,206583090,206583091,.,-0.1404598066070299,-,m:1,11,m:0,2,m:9.09,m:0.00,0.09090909,0.0,1.0,0.0909090909090909,0.6125547477636607,-0.8940815519122344,2.119191047439556,False,-4.342945178152237e-11,CG_-1,CG_-1.-,0.23136889751612078,-0.23136889751612078,0.0010574372290881335,0.08985165368000277,207317794,207317795,206583090,206583091,0.0010574372290881335
2,chr1,206583173,206583174,.,2.2676804404341624,+,m:445,506,m:69,88,m:87.94,m:78.41,0.8794466,0.78409094,0.2113925291176639,0.0959090909090909,0.2573171560178995,0.0309441077205689,0.4836902043152301,False,0.6749103650743605,CG_0,CG_0.+,-2.1717713495250717,2.1717713495250717,0.013654709026520242,0.08225438188257066,207317877,207317878,206583173,206583174,0.013654709026520242
3,chr1,206583174,206583175,.,-0.1860448380147943,-,m:540,592,m:66,74,m:91.22,m:89.19,0.9121622,0.8918919,1.0,0.0181081081081081,0.0682723740520607,-0.1733896966079575,0.3099344447120791,False,-4.342945178152237e-11,CG_0,CG_0.-,0.20415294612290238,-0.20415294612290238,0.0008189764370957872,0.017289131671012314,207317878,207317879,206583174,206583175,0.0008189764370957872
4,chr1,206583387,206583388,.,0.1701818407618702,+,m:44,627,m:4,92,m:7.02,m:4.35,0.07017544,0.04347826,1.0,0.0265217391304347,0.1161023744361438,-0.1027165364539051,0.3349212853261928,False,-4.342945178152237e-11,CG_1,CG_1.+,-0.1436601016314355,0.1436601016314355,0.0026824411167629355,0.023839298013671763,207318091,207318092,206583387,206583388,0.0026824411167629355
5,chr1,206583388,206583389,.,-0.1999448985271783,-,m:56,398,m:8,47,m:14.07,m:17.02,0.14070351,0.17021276,1.0,-0.0302127659574467,-0.0815244552872848,-0.2207751857684166,0.3838240963429862,False,-4.342945178152237e-11,CG_1,CG_1.-,0.1697321325697316,-0.1697321325697316,0.0007462635456890685,-0.030959029503135768,207318092,207318093,206583388,206583389,0.0007462635456890685
6,chr1,206583707,206583708,.,-0.2942451621019017,+,m:70,615,m:12,96,m:11.38,m:12.50,0.11382114,0.125,1.0,-0.015,-0.0344825847274746,-0.1806022137918322,0.2495673832467815,False,-4.342945178152237e-11,CG_2,CG_2.+,0.2792451621019017,-0.2792451621019017,0.000252967504364297,-0.015252967504364296,207318411,207318412,206583707,206583708,0.000252967504364297
7,chr1,206583708,206583709,.,-0.2931338405693964,-,m:44,506,m:5,66,m:8.70,m:7.58,0.08695652,0.07575758,1.0,0.0142424242424242,0.0409874203120109,-0.2155193776034492,0.2974942182274711,False,-4.342945178152237e-11,CG_2,CG_2.-,0.3073762648118206,-0.3073762648118206,0.0002587809612078131,0.013983643281216387,207318412,207318413,206583708,206583709,0.0002587809612078131
8,chr1,206583766,206583767,.,0.7352826077542431,+,m:140,560,m:15,84,m:25.00,m:17.86,0.25,0.17857143,1.0,0.0714285714285714,0.1746236866479376,-0.0547044636550892,0.4039518369509643,False,-4.342945178152237e-11,CG_3,CG_3.+,-0.6638540363256717,0.6638540363256717,0.005638551319848838,0.06579002010872256,207318470,207318471,206583766,206583767,0.005638551319848838
9,chr1,206583767,206583768,.,-0.2046105891716365,-,m:179,510,m:23,72,m:35.10,m:31.94,0.3509804,0.31944445,1.0,0.0305555555555555,0.0668212853936371,-0.1799293314836105,0.3135719022708849,False,-4.342945178152237e-11,CG_3,CG_3.-,0.235166144727192,-0.235166144727192,0.0007218567557426811,0.02983369879981282,207318471,207318472,206583767,206583768,0.0007218567557426811
10,chr1,206584104,206584105,.,0.425785040809103,+,m:485,631,m:74,104,m:76.86,m:71.15,0.76862127,0.71153843,0.6816775401308104,0.06,0.1303259444754951,-0.0770987271784251,0.3377506161294155,False,0.16642101480968666,CG_4,CG_4.+,-0.365785040809103,0.365785040809103,0.004019532254724937,0.05598046774527506,207318808,207318809,206584104,206584105,0.004019532254724937
11,chr1,206584105,206584106,.,0.2317121332429224,-,m:413,566,m:59,75,m:72.97,m:78.67,0.72968197,0.7866667,0.7515960547540742,-0.0566666666666666,-0.1332895759892052,-0.1075557699511496,0.37413492192956,False,0.12401550818780069,CG_4,CG_4.-,-0.288378799909589,0.288378799909589,0.003004313490729388,-0.05967098015739599,207318809,207318810,206584105,206584106,0.003004313490729388
